Date,Temperature,DewPoint,WindSpeed
2024-01-01,28.5,18.2,12.4
2024-01-02,30.1,19.5,15.0
2024-01-03,27.3,17.8,10.2
2024-01-04,32.0,21.0,18.6
2024-01-05,29.8,20.1,13.5
2024-01-06,26.5,16.9,9.8
2024-01-07,31.2,22.3,20.1
2024-01-08,28.9,18.7,11.9
2024-01-09,33.4,23.0,22.5
2024-01-10,27.6,17.4,14.3
2024-01-11,30.5,20.8,16.7
2024-01-12,25.8,15.6,8.4
2024-01-13,29.2,19.9,12.8
2024-01-14,31.7,21.5,17.3
2024-01-15,28.0,18.0,11.5
2024-01-16,34.1,24.2,23.7
2024-01-17,26.9,16.5,9.4
2024-01-18,29.7,19.2,13.9
2024-01-19,30.8,20.6,15.8
2024-01-20,32.5,22.4,18.9
2024-01-21,27.1,17.0,10.7
2024-01-22,28.6,18.5,12.2
2024-01-23,31.0,21.1,17.6
2024-01-24,33.2,23.3,21.8
2024-01-25,26.7,16.3,8.9
2024-01-26,29.4,19.8,13.1
2024-01-27,30.3,20.4,14.7
2024-01-28,32.8,22.7,19.6
2024-01-29,27.9,17.9,11.1
2024-01-30,28.3,18.4,12.0
2024-01-31,31.5,21.7,18.0
2024-02-01,33.7,23.5,22.1
2024-02-02,25.9,15.8,8.6
2024-02-03,29.1,19.3,13.0
2024-02-04,30.6,20.9,16.1
2024-02-05,34.0,24.0,24.5
2024-02-06,27.4,17.6,10.4
2024-02-07,28.8,18.8,12.6
2024-02-08,31.3,21.4,17.8
2024-02-09,32.9,22.9,20.5
2024-02-10,26.3,16.1,9.1
2024-02-11,29.6,19.7,13.8
2024-02-12,30.9,20.7,15.9
2024-02-13,33.1,23.1,21.4
2024-02-14,27.7,17.5,11.3
2024-02-15,28.4,18.6,12.1
2024-02-16,31.8,21.9,18.4
2024-02-17,34.3,24.4,25.0
2024-02-18,26.8,16.4,9.5
2024-02-19,29.5,19.6,13.4
2024-02-20,30.7,20.5,15.6
2024-02-21,32.4,22.2,19.1
2024-02-22,27.2,17.1,10.8
2024-02-23,28.7,18.9,12.7
2024-02-24,31.1,21.3,17.5
2024-02-25,33.5,23.4,22.3
2024-02-26,26.1,15.9,8.8
2024-02-27,29.0,19.1,13.2
2024-02-28,30.4,20.2,14.9
2024-02-29,32.7,22.6,19.8
2024-03-01,27.8,17.7,11.4
2024-03-02,28.2,18.3,12.3
2024-03-03,31.6,21.8,18.2
2024-03-04,33.8,23.7,22.7
2024-03-05,26.4,16.2,9.0
2024-03-06,29.3,19.4,13.6
2024-03-07,30.2,20.0,14.5
2024-03-08,32.6,22.5,19.3
2024-03-09,27.0,16.8,10.1
2024-03-10,28.1,18.1,11.8
2024-03-11,31.4,21.6,17.9
2024-03-12,34.2,24.1,24.1
2024-03-13,25.7,15.5,8.3
2024-03-14,29.9,20.3,14.2
2024-03-15,30.0,20.1,14.0
2024-03-16,33.0,23.2,21.0
2024-03-17,27.5,17.3,10.9
2024-03-18,28.7,18.8,12.5
2024-03-19,31.9,22.0,18.7
2024-03-20,34.4,24.5,25.3
2024-03-21,26.6,16.0,8.7
2024-03-22,29.8,19.9,13.7
2024-03-23,30.1,20.4,15.2
2024-03-24,32.3,22.1,18.8
2024-03-25,27.3,17.2,10.6
2024-03-26,28.9,18.7,12.4
2024-03-27,31.2,21.2,17.4
2024-03-28,33.6,23.6,22.0
2024-03-29,26.0,15.7,8.5
2024-03-30,29.4,19.5,13.3
2024-03-31,30.5,20.6,15.5
